00001 | aes128 | Hashcod Variant 00001 - AES-128 Key | Symmetric Keys | 128 | 16 bytes → Base64 | 128 bits | FIPS 197
00040 | chacha_poly | Hashcod Variant 00040 - ChaCha20-Poly1305 | Symmetric Keys | AEAD | 32-byte key + 12-byte nonce | 256 bits | RFC 8439
00041 | xchacha_poly | Hashcod Variant 00041 - XChaCha20-Poly1305 | Symmetric Keys | AEAD | 32-byte key + 24-byte nonce | 256 bits | libsodium
00042 | morus | Hashcod Variant 00042 - MORUS-1280 Key | Symmetric Keys | AEAD | 32-byte key + 16-byte nonce | 256 bits | CAESAR
00043 | aegis128 | Hashcod Variant 00043 - AEGIS-128 Key | Symmetric Keys | AEAD | 16-byte key + 16-byte nonce | 128 bits | CAESAR
00044 | aegis256 | Hashcod Variant 00044 - AEGIS-256 Key | Symmetric Keys | AEAD | 32-byte key + 32-byte nonce | 256 bits | CAESAR
00045 | deoxys | Hashcod Variant 00045 - Deoxys-II Key | Symmetric Keys | AEAD | 32-byte key + 16-byte nonce | 256 bits | CAESAR
00046 | gift | Hashcod Variant 00046 - GIFT-128 Key | Symmetric Keys | LWC | 16 bytes → hex | 128 bits | IoT LWC
00047 | present | Hashcod Variant 00047 - PRESENT Key | Symmetric Keys | LWC | 16 bytes → hex | 128 bits | ISO/IEC 29192
00048 | prince | Hashcod Variant 00048 - PRINCE Key | Symmetric Keys | LWC | 16 bytes → hex | 128 bits | PRINCE
00049 | lea | Hashcod Variant 00049 - LEA Key | Symmetric Keys | KOR | 16 bytes → hex | 128 bits | KS X 3246
00050 | sosemanuk | Hashcod Variant 00050 - Sosemanuk Key | Symmetric Keys | STR | 32 bytes → hex | 256 bits | eSTREAM
00051 | rabbit | Hashcod Variant 00051 - Rabbit Key | Symmetric Keys | STR | 16 bytes → hex | 128 bits | eSTREAM
00052 | hc256 | Hashcod Variant 00052 - HC-256 Key | Symmetric Keys | STR | 32 bytes → hex | 256 bits | eSTREAM
00053 | trivium | Hashcod Variant 00053 - Trivium Key | Symmetric Keys | STR | 10 bytes → hex | 80 bits | eSTREAM
00054 | rsa1024 | Hashcod Variant 00054 - RSA-1024 Seed | Asymmetric Keys | RSA | 128 bytes hex entropy | 1024 bits | PKCS #1
00055 | rsa2048 | Hashcod Variant 00055 - RSA-2048 Seed | Asymmetric Keys | RSA | 256 bytes hex entropy | 2048 bits | PKCS #1
00056 | rsa4096 | Hashcod Variant 00056 - RSA-4096 Seed | Asymmetric Keys | RSA | 512 bytes hex entropy | 4096 bits | PKCS #1
00057 | ecdsap256 | Hashcod Variant 00057 - ECDSA P-256 | Asymmetric Keys | P256 | 32 bytes → hex (NIST P-256) | 256 bits | FIPS 186-4
00058 | ecdsap384 | Hashcod Variant 00058 - ECDSA P-384 | Asymmetric Keys | P384 | 48 bytes → hex (NIST P-384) | 384 bits | FIPS 186-4
00059 | ecdsap521 | Hashcod Variant 00059 - ECDSA P-521 | Asymmetric Keys | P521 | 66 bytes → hex (NIST P-521) | 521 bits | FIPS 186-4
00060 | ed25519 | Hashcod Variant 00060 - Ed25519 Seed | Asymmetric Keys | EDDSA | 32 bytes → Base64URL | 256 bits | RFC 8032
00061 | ed448 | Hashcod Variant 00061 - Ed448 Seed | Asymmetric Keys | EDDSA | 57 bytes → hex | 456 bits | RFC 8032
00062 | x25519 | Hashcod Variant 00062 - X25519 Seed | Asymmetric Keys | ECDH | 32 bytes → Base64URL | 256 bits | RFC 7748
00063 | x448 | Hashcod Variant 00063 - X448 Seed | Asymmetric Keys | ECDH | 56 bytes → hex | 448 bits | RFC 7748
00064 | secp256k1 | Hashcod Variant 00064 - secp256k1 Key | Asymmetric Keys | BTC | 32 bytes → hex | 256 bits | SEC 2
00065 | dsa2048 | Hashcod Variant 00065 - DSA-2048 Key | Asymmetric Keys | DSA | 256 bytes hex | 2048 bits | FIPS 186-4
00066 | dsa3072 | Hashcod Variant 00066 - DSA-3072 Key | Asymmetric Keys | DSA | 384 bytes hex | 3072 bits | FIPS 186-4
00067 | rsa3072 | Hashcod Variant 00067 - RSA-3072 Seed | Asymmetric Keys | RSA | 384 bytes hex entropy | 3072 bits | PKCS #1
00068 | rsa8192 | Hashcod Variant 00068 - RSA-8192 Seed | Asymmetric Keys | RSA | 1024 bytes hex entropy | 8192 bits | PKCS #1
00069 | elgamal | Hashcod Variant 00069 - ElGamal Key | Asymmetric Keys | EG | 256 bytes hex | 2048 bits | ElGamal
00070 | paillier | Hashcod Variant 00070 - Paillier Key | Asymmetric Keys | HE | 256 bytes hex | 2048 bits | Paillier
00071 | bls12_381 | Hashcod Variant 00071 - BLS12-381 Key | Asymmetric Keys | BLS | 32 bytes → hex | 255 bits | IRTF Draft
00072 | bn254 | Hashcod Variant 00072 - BN254 Key | Asymmetric Keys | BN | 32 bytes → hex | 254 bits | BN-254
00073 | secp192k1 | Hashcod Variant 00073 - secp192k1 Key | Asymmetric Keys | EC | 24 bytes → hex | 192 bits | SEC 2
00074 | secp224k1 | Hashcod Variant 00074 - secp224k1 Key | Asymmetric Keys | EC | 28 bytes → hex | 224 bits | SEC 2
00075 | brainpoolP256 | Hashcod Variant 00075 - BrainpoolP256r1 | Asymmetric Keys | BP | 32 bytes → hex | 256 bits | RFC 5639
00076 | brainpoolP384 | Hashcod Variant 00076 - BrainpoolP384r1 | Asymmetric Keys | BP | 48 bytes → hex | 384 bits | RFC 5639
00077 | brainpoolP512 | Hashcod Variant 00077 - BrainpoolP512r1 | Asymmetric Keys | BP | 64 bytes → hex | 512 bits | RFC 5639
00078 | curve41417 | Hashcod Variant 00078 - Curve41417 Key | Asymmetric Keys | EC | 52 bytes → hex | 414 bits | Curve41417
00079 | sm2 | Hashcod Variant 00079 - SM2 Key | Asymmetric Keys | CN | 32 bytes → hex | 256 bits | GB/T 32918
00080 | gostecsig | Hashcod Variant 00080 - GOST EC Key | Asymmetric Keys | RU | 32 bytes → hex | 256 bits | GOST R 34.10
00081 | ntru | Hashcod Variant 00081 - NTRU Key | Asymmetric Keys | NTRU | 700 bytes hex entropy | ~256 bits | IEEE 1363.1
00082 | mceliece348 | Hashcod Variant 00082 - McEliece-348864 | Asymmetric Keys | CME | large code-based key | 128-bit PQ | NIST
00083 | rsa_pss | Hashcod Variant 00083 - RSA-PSS Seed | Asymmetric Keys | PSS | 256 bytes hex entropy | 2048 bits | RFC 8017
00084 | rsa_oaep | Hashcod Variant 00084 - RSA-OAEP Seed | Asymmetric Keys | OAEP | 256 bytes hex entropy | 2048 bits | RFC 8017
00085 | sha224 | Hashcod Variant 00085 - SHA-224 | Hash Digests | 224 | SubtleCrypto SHA-256 → 28B | 224 bits | FIPS 180-4
00086 | sha256 | Hashcod Variant 00086 - SHA-256 | Hash Digests | 256 | SubtleCrypto SHA-256 | 256 bits | FIPS 180-4
00087 | sha384 | Hashcod Variant 00087 - SHA-384 | Hash Digests | 384 | SubtleCrypto SHA-384 | 384 bits | FIPS 180-4
00088 | sha512 | Hashcod Variant 00088 - SHA-512 | Hash Digests | 512 | SubtleCrypto SHA-512 | 512 bits | FIPS 180-4
00089 | sha512_256 | Hashcod Variant 00089 - SHA-512/256 | Hash Digests | 256 | SHA-512 → first 256 bits | 256 bits | FIPS 180-4
00090 | sha3_256 | Hashcod Variant 00090 - SHA3-256 | Hash Digests | K256 | Keccak f-1600 sponge | 256 bits | FIPS 202
00091 | sha3_384 | Hashcod Variant 00091 - SHA3-384 | Hash Digests | K384 | Keccak sponge → 384 | 384 bits | FIPS 202
00092 | sha3_512 | Hashcod Variant 00092 - SHA3-512 | Hash Digests | K512 | Keccak sponge → 512 | 512 bits | FIPS 202
00093 | keccak256 | Hashcod Variant 00093 - Keccak-256 | Hash Digests | EVM | Original Keccak (pre-FIPS) | 256 bits | Keccak Spec
00094 | blake2b | Hashcod Variant 00094 - BLAKE2b-512 | Hash Digests | B2B | BLAKE2b 64-bit core | 512 bits | RFC 7693
00095 | blake2s | Hashcod Variant 00095 - BLAKE2s-256 | Hash Digests | B2S | BLAKE2s 32-bit core | 256 bits | RFC 7693
00096 | blake3 | Hashcod Variant 00096 - BLAKE3 | Hash Digests | B3 | BLAKE3 256-bit | 256 bits | BLAKE3 Spec
00097 | ripemd160 | Hashcod Variant 00097 - RIPEMD-160 | Hash Digests | 160 | RIPEMD-160 simulated | 160 bits | ISO/IEC 10118
00098 | whirlpool | Hashcod Variant 00098 - Whirlpool | Hash Digests | 512 | Whirlpool 512-bit | 512 bits | ISO/IEC 10118
00099 | md5 | Hashcod Variant 00099 - MD5 | Hash Digests | 128 | MD5 (broken — checksums) | 128 bits | RFC 1321
00100 | sha1 | Hashcod Variant 00100 - SHA-1 | Hash Digests | 160 | SubtleCrypto SHA-1 | 160 bits | FIPS 180-4
00101 | fnv1a | Hashcod Variant 00101 - FNV-1a | Hash Digests | 64 | FNV-1a 64-bit | 64 bits | IETF Draft
00102 | murmur3 | Hashcod Variant 00102 - MurmurHash3 | Hash Digests | 128 | MurmurHash3 x64 | 128 bits | Public Domain
00103 | xxh64 | Hashcod Variant 00103 - xxHash64 | Hash Digests | 64 | xxHash64 | 64 bits | BSD-2
00104 | crc32 | Hashcod Variant 00104 - CRC-32 | Hash Digests | 32 | CRC-32 polynomial | 32 bits | ISO 3309
00105 | crc16 | Hashcod Variant 00105 - CRC-16 | Hash Digests | 16 | CRC-16 polynomial | 16 bits | ITU-T V.41
00106 | crc64 | Hashcod Variant 00106 - CRC-64 | Hash Digests | 64 | CRC-64 polynomial | 64 bits | ECMA-182
00107 | shake128 | Hashcod Variant 00107 - SHAKE-128 (XOF) | Hash Digests | XOF | Keccak XOF, variable len | 128 bits | FIPS 202
00108 | shake256 | Hashcod Variant 00108 - SHAKE-256 (XOF) | Hash Digests | XOF | Keccak XOF, variable len | 256 bits | FIPS 202
00109 | cshake128 | Hashcod Variant 00109 - cSHAKE-128 | Hash Digests | CXOF | Customizable SHAKE | 128 bits | NIST SP 800-185
00110 | cshake256 | Hashcod Variant 00110 - cSHAKE-256 | Hash Digests | CXOF | Customizable SHAKE-256 | 256 bits | NIST SP 800-185
00111 | sm3 | Hashcod Variant 00111 - SM3 | Hash Digests | CN | SM3 256-bit | 256 bits | GB/T 32905
00112 | streebog256 | Hashcod Variant 00112 - Streebog-256 | Hash Digests | RU | Streebog 256-bit | 256 bits | GOST R 34.11-2012
00113 | streebog512 | Hashcod Variant 00113 - Streebog-512 | Hash Digests | RU | Streebog 512-bit | 512 bits | GOST R 34.11-2012
00114 | lsh256 | Hashcod Variant 00114 - LSH-256 | Hash Digests | KOR | LSH 256-bit | 256 bits | KS X 3262
00115 | jh256 | Hashcod Variant 00115 - JH-256 | Hash Digests | SHA3F | JH 256-bit | 256 bits | SHA-3 Finalist
00116 | skein256 | Hashcod Variant 00116 - Skein-256 | Hash Digests | SHA3F | Skein 256-bit | 256 bits | SHA-3 Finalist
00117 | skein512 | Hashcod Variant 00117 - Skein-512 | Hash Digests | SHA3F | Skein 512-bit | 512 bits | SHA-3 Finalist
00118 | groestl256 | Hashcod Variant 00118 - Grøstl-256 | Hash Digests | SHA3F | Grøstl 256 | 256 bits | SHA-3 Finalist
00119 | tiger | Hashcod Variant 00119 - Tiger-192 | Hash Digests | 192 | Tiger 192-bit | 192 bits | Anderson-Biham
00120 | gost94 | Hashcod Variant 00120 - GOST R 34.11-94 | Hash Digests | RU | GOST 94 256-bit | 256 bits | GOST 1994
00121 | haval | Hashcod Variant 00121 - HAVAL-256 | Hash Digests | 256 | HAVAL 256/5 | 256 bits | HAVAL
00122 | md4 | Hashcod Variant 00122 - MD4 | Hash Digests | 128 | MD4 (broken) | 128 bits | RFC 1320
00123 | md2 | Hashcod Variant 00123 - MD2 | Hash Digests | 128 | MD2 (broken) | 128 bits | RFC 1319
00124 | siphash | Hashcod Variant 00124 - SipHash-2-4 | Hash Digests | PRF | SipHash 64-bit | 64 bits | SipHash
00125 | highway | Hashcod Variant 00125 - HighwayHash | Hash Digests | 256 | HighwayHash 256 | 256 bits | Google
00126 | metrohash | Hashcod Variant 00126 - MetroHash-128 | Hash Digests | 128 | MetroHash 128-bit | 128 bits | MetroHash
00127 | cityhash | Hashcod Variant 00127 - CityHash-128 | Hash Digests | 128 | CityHash 128 | 128 bits | Google
00128 | farmhash | Hashcod Variant 00128 - FarmHash-128 | Hash Digests | 128 | FarmHash 128 | 128 bits | Google
00129 | spooky | Hashcod Variant 00129 - SpookyHash-128 | Hash Digests | 128 | SpookyHash V2 | 128 bits | Bob Jenkins
00130 | pearson | Hashcod Variant 00130 - Pearson-64 | Hash Digests | 64 | Pearson hash 64 | 64 bits | Pearson
00131 | adler32 | Hashcod Variant 00131 - Adler-32 | Hash Digests | 32 | Adler-32 checksum | 32 bits | RFC 1950
00132 | fletcher | Hashcod Variant 00132 - Fletcher-64 | Hash Digests | 64 | Fletcher-64 | 64 bits | Fletcher
00133 | gear | Hashcod Variant 00133 - GearHash | Hash Digests | 64 | GearHash 64 | 64 bits | Gear
00134 | rabin | Hashcod Variant 00134 - Rabin Fingerprint | Hash Digests | 64 | Rabin polynomial | 64 bits | Rabin
00135 | buzhash | Hashcod Variant 00135 - Buzhash | Hash Digests | 32 | Buzhash 32 | 32 bits | Buzhash
00136 | imohash | Hashcod Variant 00136 - IMOHash | Hash Digests | 128 | IMOHash 128 | 128 bits | IMOHash
00137 | t1ha | Hashcod Variant 00137 - T1HA-128 | Hash Digests | 128 | T1HA 128-bit | 128 bits | T1HA
00138 | wyhash | Hashcod Variant 00138 - WyHash-64 | Hash Digests | 64 | WyHash 64 | 64 bits | WyHash
00139 | komihash | Hashcod Variant 00139 - Komihash-64 | Hash Digests | 64 | Komihash 64 | 64 bits | Komihash
00140 | hmacsha256 | Hashcod Variant 00140 - HMAC-SHA256 | MACs & KDFs | MAC | HMAC + SHA-256 | 256-bit MAC | FIPS 198-1
00141 | hmacsha512 | Hashcod Variant 00141 - HMAC-SHA512 | MACs & KDFs | MAC | HMAC + SHA-512 | 512-bit MAC | FIPS 198-1
00142 | hmacsha3 | Hashcod Variant 00142 - HMAC-SHA3-256 | MACs & KDFs | MAC | HMAC + SHA3-256 | 256-bit MAC | NIST SP 800-224
00143 | kmac128 | Hashcod Variant 00143 - KMAC-128 | MACs & KDFs | MAC | Keccak-MAC 128-bit | 128 bits | NIST SP 800-185
00144 | kmac256 | Hashcod Variant 00144 - KMAC-256 | MACs & KDFs | MAC | Keccak-MAC 256-bit | 256 bits | NIST SP 800-185
00145 | gmac | Hashcod Variant 00145 - GMAC | MACs & KDFs | MAC | AES-GCM authenticator | 128-bit MAC | NIST SP 800-38D
00146 | cmac | Hashcod Variant 00146 - CMAC-AES | MACs & KDFs | MAC | CMAC over AES-128 | 128-bit MAC | NIST SP 800-38B
00147 | pbkdf2 | Hashcod Variant 00147 - PBKDF2-SHA256 | MACs & KDFs | KDF | PBKDF2 100k rounds | 256 bits | RFC 8018
00148 | scrypt | Hashcod Variant 00148 - scrypt | MACs & KDFs | KDF | scrypt N=16384 r=8 p=1 | 256 bits | RFC 7914
00149 | argon2id | Hashcod Variant 00149 - Argon2id | MACs & KDFs | KDF | Argon2id m=64M t=3 p=1 | 256 bits | RFC 9106
00150 | hkdf | Hashcod Variant 00150 - HKDF-SHA256 | MACs & KDFs | KDF | HKDF Extract+Expand | 256 bits | RFC 5869
00151 | bcrypt | Hashcod Variant 00151 - bcrypt | MACs & KDFs | KDF | bcrypt cost=12 | 184 bits | OpenBSD
00152 | argon2i | Hashcod Variant 00152 - Argon2i | MACs & KDFs | KDF | Argon2i m=64M t=3 p=1 | 256 bits | RFC 9106
00153 | argon2d | Hashcod Variant 00153 - Argon2d | MACs & KDFs | KDF | Argon2d m=64M t=3 p=1 | 256 bits | RFC 9106
00154 | balloon | Hashcod Variant 00154 - Balloon Hashing | MACs & KDFs | KDF | Balloon m=8K t=3 | 256 bits | Stanford
00155 | catena | Hashcod Variant 00155 - Catena | MACs & KDFs | KDF | Catena BRH | 256 bits | PHC
00156 | lyra2 | Hashcod Variant 00156 - Lyra2 | MACs & KDFs | KDF | Lyra2 sponge | 256 bits | PHC
00157 | yescrypt | Hashcod Variant 00157 - yescrypt | MACs & KDFs | KDF | yescrypt N=4096 | 256 bits | PHC
00158 | pufferfish | Hashcod Variant 00158 - Pufferfish2 | MACs & KDFs | KDF | Pufferfish2 cost=15 | 256 bits | Pufferfish
00159 | concat_kdf | Hashcod Variant 00159 - Concat-KDF | MACs & KDFs | KDF | NIST single-step KDF | 256 bits | NIST SP 800-56C
00160 | x963_kdf | Hashcod Variant 00160 - X9.63 KDF | MACs & KDFs | KDF | ANSI X9.63 KDF | 256 bits | ANSI X9.63
00161 | kbkdf_ctr | Hashcod Variant 00161 - KBKDF-CTR | MACs & KDFs | KDF | KBKDF counter mode | 256 bits | NIST SP 800-108
00162 | kbkdf_fb | Hashcod Variant 00162 - KBKDF-Feedback | MACs & KDFs | KDF | KBKDF feedback mode | 256 bits | NIST SP 800-108
00163 | sshkdf | Hashcod Variant 00163 - SSH-KDF | MACs & KDFs | SSH | SSH key derivation | 256 bits | RFC 4253
00164 | tlsprf12 | Hashcod Variant 00164 - TLS 1.2 PRF | MACs & KDFs | TLS | TLS 1.2 P_SHA256 | 256 bits | RFC 5246
00165 | tlskdf13 | Hashcod Variant 00165 - TLS 1.3 KDF | MACs & KDFs | TLS | HKDF-Expand-Label | 256 bits | RFC 8446
00166 | sigmamac | Hashcod Variant 00166 - SIGMA MAC | MACs & KDFs | MAC | SIGMA-style MAC | 256-bit MAC | IETF
00167 | umac | Hashcod Variant 00167 - UMAC | MACs & KDFs | MAC | UMAC universal hash | 128-bit MAC | RFC 4418
00168 | vmac | Hashcod Variant 00168 - VMAC | MACs & KDFs | MAC | VMAC over AES | 128-bit MAC | VMAC Spec
00169 | cbcmac | Hashcod Variant 00169 - CBC-MAC | MACs & KDFs | MAC | CBC-MAC AES | 128-bit MAC | ISO/IEC 9797
00170 | pmac | Hashcod Variant 00170 - PMAC | MACs & KDFs | MAC | PMAC parallelizable | 128-bit MAC | PMAC
00171 | ocb_mac | Hashcod Variant 00171 - OCB-MAC | MACs & KDFs | MAC | OCB authenticator | 128-bit MAC | RFC 7253
00172 | cha_poly_mac | Hashcod Variant 00172 - Poly1305-AES | MACs & KDFs | MAC | Poly1305 with AES | 128-bit MAC | Poly1305-AES
00173 | uuid4 | Hashcod Variant 00173 - UUID v4 | Identifiers | RFC | RFC 4122 random | 122 bits | RFC 4122
00174 | uuid7 | Hashcod Variant 00174 - UUID v7 | Identifiers | TIME | time-ordered + 74 random | 74 bits | RFC 9562
00175 | uuid1 | Hashcod Variant 00175 - UUID v1 | Identifiers | MAC | time + node ID | 60 bits | RFC 4122
00176 | uuid3 | Hashcod Variant 00176 - UUID v3 | Identifiers | MD5 | MD5(namespace+name) | N/A | RFC 4122
00177 | uuid5 | Hashcod Variant 00177 - UUID v5 | Identifiers | SHA1 | SHA1(namespace+name) | N/A | RFC 4122
00178 | ulid | Hashcod Variant 00178 - ULID | Identifiers | 26 | 48-bit time + 80 random | 80 bits | ulid spec
00179 | nanoid | Hashcod Variant 00179 - NanoID | Identifiers | 21 | 21-char URL-safe alphabet | ~126 bits | nanoid spec
00180 | cuid2 | Hashcod Variant 00180 - CUID2 | Identifiers | 24 | time + counter + fingerprint | ~95 bits | cuid2 spec
00181 | ksuid | Hashcod Variant 00181 - KSUID | Identifiers | 27 | 32-bit time + 128 random | 128 bits | Segment
00182 | snowflake | Hashcod Variant 00182 - Snowflake ID | Identifiers | 64 | time + worker + sequence | ~22 bits/ms | Twitter
00183 | objectid | Hashcod Variant 00183 - Mongo ObjectID | Identifiers | 12B | time + machine + counter | ~40 bits | BSON
00184 | shortid | Hashcod Variant 00184 - Short ID | Identifiers | 12 | 12-char URL-safe | ~71 bits | Custom
00185 | apikey | Hashcod Variant 00185 - API Key | Tokens & Auth | KEY | CSPRNG uniform alpha | ~5.95 b/ch | NIST SP 800-90A
00186 | bearer | Hashcod Variant 00186 - Bearer Token | Tokens & Auth | B64 | 48 bytes → Base64URL | 384 bits | RFC 6750
00187 | jwt_secret | Hashcod Variant 00187 - JWT Secret | Tokens & Auth | HS256 | 64 bytes → Base64 | 512 bits | RFC 7519
00188 | session | Hashcod Variant 00188 - Session Token | Tokens & Auth | SID | 32 bytes → hex | 256 bits | OWASP ASVS
00189 | csrf | Hashcod Variant 00189 - CSRF Token | Tokens & Auth | XSRF | 32 bytes → Base64URL | 256 bits | OWASP
00190 | refresh | Hashcod Variant 00190 - Refresh Token | Tokens & Auth | OAUTH | 64 bytes → Base64URL | 512 bits | RFC 6749
00191 | totp | Hashcod Variant 00191 - TOTP Secret | Tokens & Auth | B32 | 20 bytes → Base32 | 160 bits | RFC 6238
00192 | hotp | Hashcod Variant 00192 - HOTP Secret | Tokens & Auth | B32 | 20 bytes → Base32 | 160 bits | RFC 4226
00193 | webhook | Hashcod Variant 00193 - Webhook Secret | Tokens & Auth | WHK | 32 bytes → Base64URL | 256 bits | Custom
00194 | recovery | Hashcod Variant 00194 - Recovery Code | Tokens & Auth | BKP | 10 codes × 8 chars | ~40 bits/code | Custom
00195 | invite | Hashcod Variant 00195 - Invite Code | Tokens & Auth | INV | 12-char Base62 | ~71 bits | Custom
00196 | license | Hashcod Variant 00196 - License Key | Tokens & Auth | LIC | XXXX-XXXX-XXXX-XXXX | ~80 bits | Custom
00197 | serial | Hashcod Variant 00197 - Serial Number | Tokens & Auth | SN | XXXX-XXXX-XXXX | ~60 bits | Custom
00198 | pin4 | Hashcod Variant 00198 - PIN-4 | Tokens & Auth | 4D | 4-digit numeric | ~13 bits | Custom
00199 | pin6 | Hashcod Variant 00199 - PIN-6 | Tokens & Auth | 6D | 6-digit numeric | ~20 bits | Custom
00200 | pin8 | Hashcod Variant 00200 - PIN-8 | Tokens & Auth | 8D | 8-digit numeric | ~27 bits | Custom
00201 | pat | Hashcod Variant 00201 - Personal Access Tok | Tokens & Auth | PAT | pat_ + 40 byte hex | 320 bits | Custom
00202 | github_pat | Hashcod Variant 00202 - GitHub-style PAT | Tokens & Auth | GH | ghp_ + 36 alphanumeric | ~214 bits | GitHub
00203 | gitlab_pat | Hashcod Variant 00203 - GitLab-style PAT | Tokens & Auth | GL | glpat- + 20 chars | ~119 bits | GitLab
00204 | slack_bot | Hashcod Variant 00204 - Slack Bot Token | Tokens & Auth | SLK | xoxb-... | ~190 bits | Slack
