index,id,category_id,category,name,badge,engine,entropy,standard,about
"17","kuznyechik","symmetric","Symmetric Keys","Hashcod Variant 00017 - Kuznyechik Key","RU","32 bytes → hex","256 bits","GOST R 34.12-2015","Russian Grasshopper block cipher."
"18","magma","symmetric","Symmetric Keys","Hashcod Variant 00018 - Magma Key","RU","32 bytes → hex","256 bits","GOST 28147-89","Russian legacy block cipher (former GOST)."
"19","idea","symmetric","Symmetric Keys","Hashcod Variant 00019 - IDEA Key","128","16 bytes → hex","128 bits","IDEA","International Data Encryption Algorithm. PGP legacy."
"20","rc6","symmetric","Symmetric Keys","Hashcod Variant 00020 - RC6 Key","AES-F","32 bytes → hex","256 bits","AES Finalist","RSA Security cipher, AES competition finalist."
"21","mars","symmetric","Symmetric Keys","Hashcod Variant 00021 - MARS Key","AES-F","32 bytes → hex","256 bits","AES Finalist","IBM cipher, AES competition finalist."
"22","serpent","symmetric","Symmetric Keys","Hashcod Variant 00022 - Serpent Key","AES-F","32 bytes → hex","256 bits","AES Finalist","Conservative AES finalist with high security margin."
"23","cast128","symmetric","Symmetric Keys","Hashcod Variant 00023 - CAST-128 Key","128","16 bytes → hex","128 bits","RFC 2144","Carlisle Adams / Stafford Tavares cipher. PGP/GPG."
"24","cast256","symmetric","Symmetric Keys","Hashcod Variant 00024 - CAST-256 Key","256","32 bytes → hex","256 bits","RFC 2612","Extended CAST. AES candidate."
"25","rc4","symmetric","Symmetric Keys","Hashcod Variant 00025 - RC4 Key","STR","16 bytes → hex","128 bits","Legacy","Stream cipher, broken. Generated for legacy interop only."
"26","rc5","symmetric","Symmetric Keys","Hashcod Variant 00026 - RC5 Key","128","16 bytes → hex","128 bits","RC5","Variable parameter Rivest cipher."
"27","tea","symmetric","Symmetric Keys","Hashcod Variant 00027 - TEA Key","128","16 bytes → hex","128 bits","TEA","Tiny Encryption Algorithm. Compact, deprecated."
"28","xtea","symmetric","Symmetric Keys","Hashcod Variant 00028 - XTEA Key","128","16 bytes → hex","128 bits","XTEA","Extended TEA, fixes related-key flaws of TEA."
"29","xxtea","symmetric","Symmetric Keys","Hashcod Variant 00029 - XXTEA Key","128","16 bytes → hex","128 bits","XXTEA","Block TEA. Used in some embedded systems."
"30","speck","symmetric","Symmetric Keys","Hashcod Variant 00030 - SPECK Key","NSA","16 bytes → hex","128 bits","NSA","NSA lightweight cipher, optimized for software."
"31","simon","symmetric","Symmetric Keys","Hashcod Variant 00031 - SIMON Key","NSA","16 bytes → hex","128 bits","NSA","NSA lightweight cipher, hardware-optimized."
"32","ascon","symmetric","Symmetric Keys","Hashcod Variant 00032 - Ascon Key","AEAD","16-byte key + 16-byte nonce","128 bits","NIST LWC","NIST lightweight AEAD winner (2023)."
"33","aes_ctr","symmetric","Symmetric Keys","Hashcod Variant 00033 - AES-CTR Key","CTR","32-byte key + 16-byte IV","256 bits","NIST SP 800-38A","AES counter mode. Fast, parallelizable, no auth."
"34","aes_cbc","symmetric","Symmetric Keys","Hashcod Variant 00034 - AES-CBC Key","CBC","32-byte key + 16-byte IV","256 bits","NIST SP 800-38A","AES cipher block chaining. Padding oracle prone."
"35","aes_xts","symmetric","Symmetric Keys","Hashcod Variant 00035 - AES-XTS Key","XTS","64-byte tweak key","512 bits","IEEE 1619","AES disk-encryption tweakable mode (BitLocker, LUKS)."
"36","aes_ocb","symmetric","Symmetric Keys","Hashcod Variant 00036 - AES-OCB Key","OCB","32-byte key + 12-byte nonce","256 bits","RFC 7253","Offset Codebook Mode. Single-pass AEAD."
"37","aes_eax","symmetric","Symmetric Keys","Hashcod Variant 00037 - AES-EAX Key","EAX","32-byte key + 16-byte nonce","256 bits","EAX Spec","Two-pass AEAD mode. Used in NDEF & NFC."
"38","aes_siv","symmetric","Symmetric Keys","Hashcod Variant 00038 - AES-SIV Key","SIV","64-byte SIV key","512 bits","RFC 5297","Synthetic IV mode, deterministic AEAD. Misuse-resistant."
"39","chacha_ietf","symmetric","Symmetric Keys","Hashcod Variant 00039 - ChaCha20 IETF Key","IETF","32-byte key + 12-byte nonce","256 bits","RFC 8439","ChaCha20 with 96-bit IETF nonce variant."
"40","chacha_poly","symmetric","Symmetric Keys","Hashcod Variant 00040 - ChaCha20-Poly1305","AEAD","32-byte key + 12-byte nonce","256 bits","RFC 8439","AEAD construction. TLS 1.3, WireGuard, Signal."
"41","xchacha_poly","symmetric","Symmetric Keys","Hashcod Variant 00041 - XChaCha20-Poly1305","AEAD","32-byte key + 24-byte nonce","256 bits","libsodium","Extended-nonce AEAD. Misuse-resistant against random nonces."
"42","morus","symmetric","Symmetric Keys","Hashcod Variant 00042 - MORUS-1280 Key","AEAD","32-byte key + 16-byte nonce","256 bits","CAESAR","CAESAR competition AEAD finalist."
"43","aegis128","symmetric","Symmetric Keys","Hashcod Variant 00043 - AEGIS-128 Key","AEAD","16-byte key + 16-byte nonce","128 bits","CAESAR","AEGIS, AES-based AEAD. Very fast on AES-NI hardware."
"44","aegis256","symmetric","Symmetric Keys","Hashcod Variant 00044 - AEGIS-256 Key","AEAD","32-byte key + 32-byte nonce","256 bits","CAESAR","AEGIS-256, larger nonce variant."
"45","deoxys","symmetric","Symmetric Keys","Hashcod Variant 00045 - Deoxys-II Key","AEAD","32-byte key + 16-byte nonce","256 bits","CAESAR","Tweakable block cipher AEAD. CAESAR winner."
"46","gift","symmetric","Symmetric Keys","Hashcod Variant 00046 - GIFT-128 Key","LWC","16 bytes → hex","128 bits","IoT LWC","Ultra-lightweight cipher for constrained IoT devices."
"47","present","symmetric","Symmetric Keys","Hashcod Variant 00047 - PRESENT Key","LWC","16 bytes → hex","128 bits","ISO/IEC 29192","Ultra-low-power IoT cipher."
"48","prince","symmetric","Symmetric Keys","Hashcod Variant 00048 - PRINCE Key","LWC","16 bytes → hex","128 bits","PRINCE","Low-latency block cipher."
"49","lea","symmetric","Symmetric Keys","Hashcod Variant 00049 - LEA Key","KOR","16 bytes → hex","128 bits","KS X 3246","Korean Lightweight Encryption Algorithm."
"50","sosemanuk","symmetric","Symmetric Keys","Hashcod Variant 00050 - Sosemanuk Key","STR","32 bytes → hex","256 bits","eSTREAM","eSTREAM software-portfolio stream cipher."
"51","rabbit","symmetric","Symmetric Keys","Hashcod Variant 00051 - Rabbit Key","STR","16 bytes → hex","128 bits","eSTREAM","eSTREAM stream cipher, fast on 32-bit CPUs."
"52","hc256","symmetric","Symmetric Keys","Hashcod Variant 00052 - HC-256 Key","STR","32 bytes → hex","256 bits","eSTREAM","eSTREAM portfolio stream cipher."
"53","trivium","symmetric","Symmetric Keys","Hashcod Variant 00053 - Trivium Key","STR","10 bytes → hex","80 bits","eSTREAM","Compact hardware-oriented stream cipher."
"54","rsa1024","asymmetric","Asymmetric Keys","Hashcod Variant 00054 - RSA-1024 Seed","RSA","128 bytes hex entropy","1024 bits","PKCS #1","RSA seed material, 1024-bit modulus. Below current minimums — legacy only."
"55","rsa2048","asymmetric","Asymmetric Keys","Hashcod Variant 00055 - RSA-2048 Seed","RSA","256 bytes hex entropy","2048 bits","PKCS #1","RSA seed material, 2048-bit modulus. Current minimum for new deployments."
"56","rsa4096","asymmetric","Asymmetric Keys","Hashcod Variant 00056 - RSA-4096 Seed","RSA","512 bytes hex entropy","4096 bits","PKCS #1","RSA seed material, 4096-bit modulus. Long-term archival use."
"57","ecdsap256","asymmetric","Asymmetric Keys","Hashcod Variant 00057 - ECDSA P-256","P256","32 bytes → hex (NIST P-256)","256 bits","FIPS 186-4","NIST P-256 (secp256r1) private scalar. Default for TLS server signatures."
"58","ecdsap384","asymmetric","Asymmetric Keys","Hashcod Variant 00058 - ECDSA P-384","P384","48 bytes → hex (NIST P-384)","384 bits","FIPS 186-4","NIST P-384 (secp384r1) private scalar. Top-secret-tier curve."
"59","ecdsap521","asymmetric","Asymmetric Keys","Hashcod Variant 00059 - ECDSA P-521","P521","66 bytes → hex (NIST P-521)","521 bits","FIPS 186-4","NIST P-521 private scalar. Maximum classical security curve."
"60","ed25519","asymmetric","Asymmetric Keys","Hashcod Variant 00060 - Ed25519 Seed","EDDSA","32 bytes → Base64URL","256 bits","RFC 8032","Edwards-curve Digital Signature Algorithm. SSH, JWT, modern signing."
"61","ed448","asymmetric","Asymmetric Keys","Hashcod Variant 00061 - Ed448 Seed","EDDSA","57 bytes → hex","456 bits","RFC 8032","Higher-security Edwards curve. Goldilocks-curve based."
"62","x25519","asymmetric","Asymmetric Keys","Hashcod Variant 00062 - X25519 Seed","ECDH","32 bytes → Base64URL","256 bits","RFC 7748","Curve25519 key agreement. Used in TLS 1.3, Signal, WireGuard."
"63","x448","asymmetric","Asymmetric Keys","Hashcod Variant 00063 - X448 Seed","ECDH","56 bytes → hex","448 bits","RFC 7748","Higher-security ECDH variant. 224-bit security level."
"64","secp256k1","asymmetric","Asymmetric Keys","Hashcod Variant 00064 - secp256k1 Key","BTC","32 bytes → hex","256 bits","SEC 2","Bitcoin/Ethereum private key curve. Koblitz curve, not NIST."
"65","dsa2048","asymmetric","Asymmetric Keys","Hashcod Variant 00065 - DSA-2048 Key","DSA","256 bytes hex","2048 bits","FIPS 186-4","Digital Signature Algorithm. Largely replaced by ECDSA."
"66","dsa3072","asymmetric","Asymmetric Keys","Hashcod Variant 00066 - DSA-3072 Key","DSA","384 bytes hex","3072 bits","FIPS 186-4","Higher-security DSA variant."
"67","rsa3072","asymmetric","Asymmetric Keys","Hashcod Variant 00067 - RSA-3072 Seed","RSA","384 bytes hex entropy","3072 bits","PKCS #1","RSA seed material, 3072-bit modulus. NIST 128-bit security."
"68","rsa8192","asymmetric","Asymmetric Keys","Hashcod Variant 00068 - RSA-8192 Seed","RSA","1024 bytes hex entropy","8192 bits","PKCS #1","Paranoid-tier RSA modulus."
"69","elgamal","asymmetric","Asymmetric Keys","Hashcod Variant 00069 - ElGamal Key","EG","256 bytes hex","2048 bits","ElGamal","Discrete-log encryption scheme. PGP/GnuPG legacy."
"70","paillier","asymmetric","Asymmetric Keys","Hashcod Variant 00070 - Paillier Key","HE","256 bytes hex","2048 bits","Paillier","Additively homomorphic public-key crypto."
"71","bls12_381","asymmetric","Asymmetric Keys","Hashcod Variant 00071 - BLS12-381 Key","BLS","32 bytes → hex","255 bits","IRTF Draft","Pairing-friendly curve. Ethereum 2.0, zk-SNARKs."
"72","bn254","asymmetric","Asymmetric Keys","Hashcod Variant 00072 - BN254 Key","BN","32 bytes → hex","254 bits","BN-254","Barreto-Naehrig pairing curve. ZCash legacy."
"73","secp192k1","asymmetric","Asymmetric Keys","Hashcod Variant 00073 - secp192k1 Key","EC","24 bytes → hex","192 bits","SEC 2","Koblitz curve, 192-bit. Limited use."
"74","secp224k1","asymmetric","Asymmetric Keys","Hashcod Variant 00074 - secp224k1 Key","EC","28 bytes → hex","224 bits","SEC 2","Koblitz curve, 224-bit."
"75","brainpoolP256","asymmetric","Asymmetric Keys","Hashcod Variant 00075 - BrainpoolP256r1","BP","32 bytes → hex","256 bits","RFC 5639","European-curated curve, alternative to NIST."
"76","brainpoolP384","asymmetric","Asymmetric Keys","Hashcod Variant 00076 - BrainpoolP384r1","BP","48 bytes → hex","384 bits","RFC 5639","European 384-bit Brainpool curve."
"77","brainpoolP512","asymmetric","Asymmetric Keys","Hashcod Variant 00077 - BrainpoolP512r1","BP","64 bytes → hex","512 bits","RFC 5639","European 512-bit Brainpool curve."
"78","curve41417","asymmetric","Asymmetric Keys","Hashcod Variant 00078 - Curve41417 Key","EC","52 bytes → hex","414 bits","Curve41417","High-security Edwards curve, ~206-bit security."
"79","sm2","asymmetric","Asymmetric Keys","Hashcod Variant 00079 - SM2 Key","CN","32 bytes → hex","256 bits","GB/T 32918","Chinese national EC signature/encryption."
"80","gostecsig","asymmetric","Asymmetric Keys","Hashcod Variant 00080 - GOST EC Key","RU","32 bytes → hex","256 bits","GOST R 34.10","Russian elliptic-curve signature."
"81","ntru","asymmetric","Asymmetric Keys","Hashcod Variant 00081 - NTRU Key","NTRU","700 bytes hex entropy","~256 bits","IEEE 1363.1","Lattice-based KEM. PQC candidate."
"82","mceliece348","asymmetric","Asymmetric Keys","Hashcod Variant 00082 - McEliece-348864","CME","large code-based key","128-bit PQ","NIST","Code-based KEM, smallest McEliece variant."
"83","rsa_pss","asymmetric","Asymmetric Keys","Hashcod Variant 00083 - RSA-PSS Seed","PSS","256 bytes hex entropy","2048 bits","RFC 8017","RSA Probabilistic Signature Scheme."
"84","rsa_oaep","asymmetric","Asymmetric Keys","Hashcod Variant 00084 - RSA-OAEP Seed","OAEP","256 bytes hex entropy","2048 bits","RFC 8017","RSA Optimal Asymmetric Encryption Padding."
"85","sha224","hashes","Hash Digests","Hashcod Variant 00085 - SHA-224","224","SubtleCrypto SHA-256 → 28B","224 bits","FIPS 180-4","Truncated SHA-256. Useful when 224 bits suffice and you want speed."
"86","sha256","hashes","Hash Digests","Hashcod Variant 00086 - SHA-256","256","SubtleCrypto SHA-256","256 bits","FIPS 180-4","The workhorse hash. Bitcoin, TLS certs, code signing — everywhere."
"87","sha384","hashes","Hash Digests","Hashcod Variant 00087 - SHA-384","384","SubtleCrypto SHA-384","384 bits","FIPS 180-4","Truncated SHA-512. NSA Suite B mandatory for top secret."
"88","sha512","hashes","Hash Digests","Hashcod Variant 00088 - SHA-512","512","SubtleCrypto SHA-512","512 bits","FIPS 180-4","Wider state, faster on 64-bit machines than SHA-256."
"89","sha512_256","hashes","Hash Digests","Hashcod Variant 00089 - SHA-512/256","256","SHA-512 → first 256 bits","256 bits","FIPS 180-4","SHA-512 truncated to 256 bits. Resists length-extension attacks."
"90","sha3_256","hashes","Hash Digests","Hashcod Variant 00090 - SHA3-256","K256","Keccak f-1600 sponge","256 bits","FIPS 202","NIST-standardized Keccak. Different construction from SHA-2."
"91","sha3_384","hashes","Hash Digests","Hashcod Variant 00091 - SHA3-384","K384","Keccak sponge → 384","384 bits","FIPS 202","SHA-3 family, 384-bit output."
"92","sha3_512","hashes","Hash Digests","Hashcod Variant 00092 - SHA3-512","K512","Keccak sponge → 512","512 bits","FIPS 202","SHA-3 family, 512-bit output. Maximum standardized SHA-3 width."
"93","keccak256","hashes","Hash Digests","Hashcod Variant 00093 - Keccak-256","EVM","Original Keccak (pre-FIPS)","256 bits","Keccak Spec","Original Keccak padding. Used by Ethereum and the EVM."
"94","blake2b","hashes","Hash Digests","Hashcod Variant 00094 - BLAKE2b-512","B2B","BLAKE2b 64-bit core","512 bits","RFC 7693","Faster than MD5, more secure than SHA-3. argon2 internals."
"95","blake2s","hashes","Hash Digests","Hashcod Variant 00095 - BLAKE2s-256","B2S","BLAKE2s 32-bit core","256 bits","RFC 7693","Embedded-friendly variant. 8 to 32-bit platforms."
"96","blake3","hashes","Hash Digests","Hashcod Variant 00096 - BLAKE3","B3","BLAKE3 256-bit","256 bits","BLAKE3 Spec","Tree-hashing for parallel speed. KDF, MAC, XOF in one design."
"97","ripemd160","hashes","Hash Digests","Hashcod Variant 00097 - RIPEMD-160","160","RIPEMD-160 simulated","160 bits","ISO/IEC 10118","Bitcoin address derivation step. Otherwise legacy."
"98","whirlpool","hashes","Hash Digests","Hashcod Variant 00098 - Whirlpool","512","Whirlpool 512-bit","512 bits","ISO/IEC 10118","AES-derived hash, 512-bit output. NESSIE recommendation."
"99","md5","hashes","Hash Digests","Hashcod Variant 00099 - MD5","128","MD5 (broken — checksums)","128 bits","RFC 1321","Broken for security. Generated for non-cryptographic checksum use only."
"100","sha1","hashes","Hash Digests","Hashcod Variant 00100 - SHA-1","160","SubtleCrypto SHA-1","160 bits","FIPS 180-4","Broken since 2017 (SHAttered). Legacy interop only."
"101","fnv1a","hashes","Hash Digests","Hashcod Variant 00101 - FNV-1a","64","FNV-1a 64-bit","64 bits","IETF Draft","Non-cryptographic hash. Hash tables, bloom filters."
"102","murmur3","hashes","Hash Digests","Hashcod Variant 00102 - MurmurHash3","128","MurmurHash3 x64","128 bits","Public Domain","Non-cryptographic, fast, good distribution. Used by Cassandra, Redis."
"103","xxh64","hashes","Hash Digests","Hashcod Variant 00103 - xxHash64","64","xxHash64","64 bits","BSD-2","Among the fastest non-cryptographic hashes. zstd, LZ4 use it."
"104","crc32","hashes","Hash Digests","Hashcod Variant 00104 - CRC-32","32","CRC-32 polynomial","32 bits","ISO 3309","Cyclic redundancy check. ZIP, PNG, Ethernet integrity."
"105","crc16","hashes","Hash Digests","Hashcod Variant 00105 - CRC-16","16","CRC-16 polynomial","16 bits","ITU-T V.41","Used in Modbus, XMODEM, USB."
"106","crc64","hashes","Hash Digests","Hashcod Variant 00106 - CRC-64","64","CRC-64 polynomial","64 bits","ECMA-182","XZ archive integrity, Redis cluster slot calc."
"107","shake128","hashes","Hash Digests","Hashcod Variant 00107 - SHAKE-128 (XOF)","XOF","Keccak XOF, variable len","128 bits","FIPS 202","Extendable-output function. SHA-3 family."
"108","shake256","hashes","Hash Digests","Hashcod Variant 00108 - SHAKE-256 (XOF)","XOF","Keccak XOF, variable len","256 bits","FIPS 202","Higher-security XOF. Variable-length output."
"109","cshake128","hashes","Hash Digests","Hashcod Variant 00109 - cSHAKE-128","CXOF","Customizable SHAKE","128 bits","NIST SP 800-185","Customizable SHAKE with domain separation."
"110","cshake256","hashes","Hash Digests","Hashcod Variant 00110 - cSHAKE-256","CXOF","Customizable SHAKE-256","256 bits","NIST SP 800-185","cSHAKE-256 with personalization."
"111","sm3","hashes","Hash Digests","Hashcod Variant 00111 - SM3","CN","SM3 256-bit","256 bits","GB/T 32905","Chinese national hash function."
"112","streebog256","hashes","Hash Digests","Hashcod Variant 00112 - Streebog-256","RU","Streebog 256-bit","256 bits","GOST R 34.11-2012","Russian national hash. 256-bit variant."
"113","streebog512","hashes","Hash Digests","Hashcod Variant 00113 - Streebog-512","RU","Streebog 512-bit","512 bits","GOST R 34.11-2012","Russian national hash. 512-bit variant."
"114","lsh256","hashes","Hash Digests","Hashcod Variant 00114 - LSH-256","KOR","LSH 256-bit","256 bits","KS X 3262","Korean lightweight hash function."
"115","jh256","hashes","Hash Digests","Hashcod Variant 00115 - JH-256","SHA3F","JH 256-bit","256 bits","SHA-3 Finalist","JH hash, SHA-3 competition finalist."
"116","skein256","hashes","Hash Digests","Hashcod Variant 00116 - Skein-256","SHA3F","Skein 256-bit","256 bits","SHA-3 Finalist","Tweakable Threefish-based hash."
"117","skein512","hashes","Hash Digests","Hashcod Variant 00117 - Skein-512","SHA3F","Skein 512-bit","512 bits","SHA-3 Finalist","Larger Skein variant."
"118","groestl256","hashes","Hash Digests","Hashcod Variant 00118 - Grøstl-256","SHA3F","Grøstl 256","256 bits","SHA-3 Finalist","AES-derived hash, SHA-3 finalist."
"119","tiger","hashes","Hash Digests","Hashcod Variant 00119 - Tiger-192","192","Tiger 192-bit","192 bits","Anderson-Biham","Fast 64-bit hash. Used in TTH file integrity."
"120","gost94","hashes","Hash Digests","Hashcod Variant 00120 - GOST R 34.11-94","RU","GOST 94 256-bit","256 bits","GOST 1994","Legacy Russian hash, replaced by Streebog."
"121","haval","hashes","Hash Digests","Hashcod Variant 00121 - HAVAL-256","256","HAVAL 256/5","256 bits","HAVAL","Variable-output hash. Considered broken."
"122","md4","hashes","Hash Digests","Hashcod Variant 00122 - MD4","128","MD4 (broken)","128 bits","RFC 1320","Broken hash. Generated for legacy interop only."
"123","md2","hashes","Hash Digests","Hashcod Variant 00123 - MD2","128","MD2 (broken)","128 bits","RFC 1319","Pre-MD4 RSA Lab hash. Cryptographically dead."
"124","siphash","hashes","Hash Digests","Hashcod Variant 00124 - SipHash-2-4","PRF","SipHash 64-bit","64 bits","SipHash","Keyed PRF for hash tables. DoS-resistant."
"125","highway","hashes","Hash Digests","Hashcod Variant 00125 - HighwayHash","256","HighwayHash 256","256 bits","Google","Google's SIMD-friendly keyed hash."
"126","metrohash","hashes","Hash Digests","Hashcod Variant 00126 - MetroHash-128","128","MetroHash 128-bit","128 bits","MetroHash","Fast non-cryptographic hash family."
"127","cityhash","hashes","Hash Digests","Hashcod Variant 00127 - CityHash-128","128","CityHash 128","128 bits","Google","Google's string hash family."
"128","farmhash","hashes","Hash Digests","Hashcod Variant 00128 - FarmHash-128","128","FarmHash 128","128 bits","Google","Successor to CityHash."
"129","spooky","hashes","Hash Digests","Hashcod Variant 00129 - SpookyHash-128","128","SpookyHash V2","128 bits","Bob Jenkins","Bob Jenkins' fast non-crypto hash."
"130","pearson","hashes","Hash Digests","Hashcod Variant 00130 - Pearson-64","64","Pearson hash 64","64 bits","Pearson","Tiny lookup-table hash for embedded use."
"131","adler32","hashes","Hash Digests","Hashcod Variant 00131 - Adler-32","32","Adler-32 checksum","32 bits","RFC 1950","zlib checksum, faster than CRC-32."
"132","fletcher","hashes","Hash Digests","Hashcod Variant 00132 - Fletcher-64","64","Fletcher-64","64 bits","Fletcher","Fletcher checksum, ZFS data integrity."
"133","gear","hashes","Hash Digests","Hashcod Variant 00133 - GearHash","64","GearHash 64","64 bits","Gear","Rolling hash for content-defined chunking."
"134","rabin","hashes","Hash Digests","Hashcod Variant 00134 - Rabin Fingerprint","64","Rabin polynomial","64 bits","Rabin","Rolling hash, deduplication systems."
"135","buzhash","hashes","Hash Digests","Hashcod Variant 00135 - Buzhash","32","Buzhash 32","32 bits","Buzhash","Cyclic polynomial rolling hash."
"136","imohash","hashes","Hash Digests","Hashcod Variant 00136 - IMOHash","128","IMOHash 128","128 bits","IMOHash","Fast file fingerprint, sampled."
"137","t1ha","hashes","Hash Digests","Hashcod Variant 00137 - T1HA-128","128","T1HA 128-bit","128 bits","T1HA","Fast portable non-cryptographic hash."
"138","wyhash","hashes","Hash Digests","Hashcod Variant 00138 - WyHash-64","64","WyHash 64","64 bits","WyHash","Smhasher leader. Used in V8, Zig."
"139","komihash","hashes","Hash Digests","Hashcod Variant 00139 - Komihash-64","64","Komihash 64","64 bits","Komihash","Modern fast non-crypto hash."
"140","hmacsha256","macs","MACs & KDFs","Hashcod Variant 00140 - HMAC-SHA256","MAC","HMAC + SHA-256","256-bit MAC","FIPS 198-1","Keyed message authentication. JWT HS256, AWS Sig v4."
"141","hmacsha512","macs","MACs & KDFs","Hashcod Variant 00141 - HMAC-SHA512","MAC","HMAC + SHA-512","512-bit MAC","FIPS 198-1","HMAC with SHA-512. Larger output, faster on 64-bit."
"142","hmacsha3","macs","MACs & KDFs","Hashcod Variant 00142 - HMAC-SHA3-256","MAC","HMAC + SHA3-256","256-bit MAC","NIST SP 800-224","HMAC built on the sponge construction."
"143","kmac128","macs","MACs & KDFs","Hashcod Variant 00143 - KMAC-128","MAC","Keccak-MAC 128-bit","128 bits","NIST SP 800-185","Keccak-based MAC. Domain-separated KMAC family."
"144","kmac256","macs","MACs & KDFs","Hashcod Variant 00144 - KMAC-256","MAC","Keccak-MAC 256-bit","256 bits","NIST SP 800-185","KMAC at 256-bit security level."
"145","gmac","macs","MACs & KDFs","Hashcod Variant 00145 - GMAC","MAC","AES-GCM authenticator","128-bit MAC","NIST SP 800-38D","GCM without encryption — tag-only mode."
"146","cmac","macs","MACs & KDFs","Hashcod Variant 00146 - CMAC-AES","MAC","CMAC over AES-128","128-bit MAC","NIST SP 800-38B","Block-cipher MAC. Used by EMV chip-card protocols."
"147","pbkdf2","macs","MACs & KDFs","Hashcod Variant 00147 - PBKDF2-SHA256","KDF","PBKDF2 100k rounds","256 bits","RFC 8018","Password-based key derivation. iOS, 1Password legacy."
"148","scrypt","macs","MACs & KDFs","Hashcod Variant 00148 - scrypt","KDF","scrypt N=16384 r=8 p=1","256 bits","RFC 7914","Memory-hard KDF. Litecoin mining, password hashing."
"149","argon2id","macs","MACs & KDFs","Hashcod Variant 00149 - Argon2id","KDF","Argon2id m=64M t=3 p=1","256 bits","RFC 9106","Modern password hashing winner (PHC 2015)."
"150","hkdf","macs","MACs & KDFs","Hashcod Variant 00150 - HKDF-SHA256","KDF","HKDF Extract+Expand","256 bits","RFC 5869","Extract-then-expand. Signal, TLS 1.3 internals."
"151","bcrypt","macs","MACs & KDFs","Hashcod Variant 00151 - bcrypt","KDF","bcrypt cost=12","184 bits","OpenBSD","Blowfish-based password hash. Long-running web framework default."
"152","argon2i","macs","MACs & KDFs","Hashcod Variant 00152 - Argon2i","KDF","Argon2i m=64M t=3 p=1","256 bits","RFC 9106","Side-channel-resistant Argon2 variant."
"153","argon2d","macs","MACs & KDFs","Hashcod Variant 00153 - Argon2d","KDF","Argon2d m=64M t=3 p=1","256 bits","RFC 9106","Maximum GPU-resistance Argon2 variant."
"154","balloon","macs","MACs & KDFs","Hashcod Variant 00154 - Balloon Hashing","KDF","Balloon m=8K t=3","256 bits","Stanford","Memory-hard, provably-secure password hash."
